Year,Region,target,value
2005,East,L1_Zymoseptoria_tritici_Disease_Severity,0.60975015
2005,East Midlands,L1_Zymoseptoria_tritici_Disease_Severity,0.539097
2005,North East,L1_Zymoseptoria_tritici_Disease_Severity,0.84616494
2005,North West,L1_Zymoseptoria_tritici_Disease_Severity,2.5844812
2005,South East,L1_Zymoseptoria_tritici_Disease_Severity,1.4710546
2005,South West,L1_Zymoseptoria_tritici_Disease_Severity,2.4581556
2005,West Midlands,L1_Zymoseptoria_tritici_Disease_Severity,0.93883526
2005,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Disease_Severity,1.3307228
2006,East,L1_Zymoseptoria_tritici_Disease_Severity,0.78432083
2006,East Midlands,L1_Zymoseptoria_tritici_Disease_Severity,0.82014716
2006,North East,L1_Zymoseptoria_tritici_Disease_Severity,0.21303858
2006,North West,L1_Zymoseptoria_tritici_Disease_Severity,1.0286951
2006,South East,L1_Zymoseptoria_tritici_Disease_Severity,2.064145
2006,South West,L1_Zymoseptoria_tritici_Disease_Severity,1.2983882
2006,West Midlands,L1_Zymoseptoria_tritici_Disease_Severity,1.2304368
2006,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Disease_Severity,0.4614818
2007,East,L1_Zymoseptoria_tritici_Disease_Severity,1.7129948
2007,East Midlands,L1_Zymoseptoria_tritici_Disease_Severity,1.259504
2007,North East,L1_Zymoseptoria_tritici_Disease_Severity,0.72546417
2007,North West,L1_Zymoseptoria_tritici_Disease_Severity,1.9033552
2007,South East,L1_Zymoseptoria_tritici_Disease_Severity,2.4635959
2007,South West,L1_Zymoseptoria_tritici_Disease_Severity,3.319326
2007,Wales,L1_Zymoseptoria_tritici_Disease_Severity,3.1371346
2007,West Midlands,L1_Zymoseptoria_tritici_Disease_Severity,1.868273
2007,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Disease_Severity,1.2763097
2008,East,L1_Zymoseptoria_tritici_Disease_Severity,0.32953233
2008,East Midlands,L1_Zymoseptoria_tritici_Disease_Severity,0.9086405
2008,North East,L1_Zymoseptoria_tritici_Disease_Severity,0.5633333
2008,North West,L1_Zymoseptoria_tritici_Disease_Severity,1.689959
2008,South East,L1_Zymoseptoria_tritici_Disease_Severity,1.8158529
2008,South West,L1_Zymoseptoria_tritici_Disease_Severity,2.5712843
2008,West Midlands,L1_Zymoseptoria_tritici_Disease_Severity,1.4611516
2008,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Disease_Severity,1.3497772
2009,East,L1_Zymoseptoria_tritici_Disease_Severity,0.8710995
2009,East Midlands,L1_Zymoseptoria_tritici_Disease_Severity,1.2549582
2009,North East,L1_Zymoseptoria_tritici_Disease_Severity,0.73064077
2009,North West,L1_Zymoseptoria_tritici_Disease_Severity,2.4772365
2009,South East,L1_Zymoseptoria_tritici_Disease_Severity,1.6481485
2009,South West,L1_Zymoseptoria_tritici_Disease_Severity,1.9464984
2009,West Midlands,L1_Zymoseptoria_tritici_Disease_Severity,1.7995847
2009,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Disease_Severity,0.985506
2010,East,L1_Zymoseptoria_tritici_Disease_Severity,0.07492827
2010,East Midlands,L1_Zymoseptoria_tritici_Disease_Severity,0.08639948
2010,North East,L1_Zymoseptoria_tritici_Disease_Severity,0.060244985
2010,North West,L1_Zymoseptoria_tritici_Disease_Severity,0.17805472
2010,South East,L1_Zymoseptoria_tritici_Disease_Severity,0.18813196
2010,South West,L1_Zymoseptoria_tritici_Disease_Severity,0.2937909
2010,Wales,L1_Zymoseptoria_tritici_Disease_Severity,0.4621315
2010,West Midlands,L1_Zymoseptoria_tritici_Disease_Severity,0.15487637
2010,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Disease_Severity,0.0869314
2011,East,L1_Zymoseptoria_tritici_Disease_Severity,0.13439226
2011,East Midlands,L1_Zymoseptoria_tritici_Disease_Severity,0.17729196
2011,North East,L1_Zymoseptoria_tritici_Disease_Severity,0.117621854
2011,North West,L1_Zymoseptoria_tritici_Disease_Severity,0.9712399
2011,South East,L1_Zymoseptoria_tritici_Disease_Severity,0.29795867
2011,South West,L1_Zymoseptoria_tritici_Disease_Severity,1.2235563
2011,West Midlands,L1_Zymoseptoria_tritici_Disease_Severity,0.27577162
2011,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Disease_Severity,0.19006202
2012,East,L1_Zymoseptoria_tritici_Disease_Severity,3.164658
2012,East Midlands,L1_Zymoseptoria_tritici_Disease_Severity,3.7629104
2012,North East,L1_Zymoseptoria_tritici_Disease_Severity,3.3541174
2012,North West,L1_Zymoseptoria_tritici_Disease_Severity,3.4487374
2012,South East,L1_Zymoseptoria_tritici_Disease_Severity,5.4240556
2012,South West,L1_Zymoseptoria_tritici_Disease_Severity,5.5098057
2012,Wales,L1_Zymoseptoria_tritici_Disease_Severity,6.5119042
2012,West Midlands,L1_Zymoseptoria_tritici_Disease_Severity,4.3458786
2012,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Disease_Severity,4.11107
2013,East,L1_Zymoseptoria_tritici_Disease_Severity,0.53917694
2013,East Midlands,L1_Zymoseptoria_tritici_Disease_Severity,0.6607233
2013,North East,L1_Zymoseptoria_tritici_Disease_Severity,0.42767653
2013,North West,L1_Zymoseptoria_tritici_Disease_Severity,1.1523948
2013,South East,L1_Zymoseptoria_tritici_Disease_Severity,1.7223734
